time,gibbs,gibbs,,
231,0.154453486,0.453255988,-1.2317E-05,-0.000156579
232,0.154453486,0.453252389,-1.2317E-05,-0.000160178
233,0.154453486,0.453248702,-1.2317E-05,-0.000163865
234,0.154453485,0.453244922,-1.2318E-05,-0.000167645
235,0.154453485,0.453241049,-1.2318E-05,-0.000171518
236,0.154453485,0.45323708,-1.2318E-05,-0.000175487
237,0.154453484,0.453233012,-1.2319E-05,-0.000179555
238,0.154453484,0.453228844,-1.2319E-05,-0.000183723
239,0.154453484,0.453224571,-1.2319E-05,-0.000187996
240,0.154453484,0.453220192,-1.2319E-05,-0.000192375
241,0.154453483,0.453215704,-1.232E-05,-0.000196863
242,0.154453483,0.453211105,-1.232E-05,-0.000201462
243,0.154453483,0.45320639,-1.232E-05,-0.000206177
244,0.154453483,0.453201558,-1.232E-05,-0.000211009
245,0.154453482,0.453196606,-1.2321E-05,-0.000215961
246,0.154453482,0.453191529,-1.2321E-05,-0.000221038
247,0.154453482,0.453186326,-1.2321E-05,-0.000226241
248,0.154453481,0.453180992,-1.2322E-05,-0.000231575
249,0.154453481,0.453175525,-1.2322E-05,-0.000237042
250,0.154453481,0.453169921,-1.2322E-05,-0.000242646
251,0.154453481,0.453164176,-1.2322E-05,-0.000248391
252,0.15445348,0.453158287,-1.2323E-05,-0.00025428
253,0.15445348,0.453152249,-1.2323E-05,-0.000260318
254,0.15445348,0.45314606,-1.2323E-05,-0.000266507
255,0.15445348,0.453139716,-1.2323E-05,-0.000272851
256,0.154453479,0.453133211,-1.2324E-05,-0.000279356
257,0.154453479,0.453126542,-1.2324E-05,-0.000286025
258,0.154453479,0.453119705,-1.2324E-05,-0.000292862
259,0.154453479,0.453112696,-1.2324E-05,-0.000299871
260,0.154453478,0.453105509,-1.2325E-05,-0.000307058
261,0.154453478,0.45309814,-1.2325E-05,-0.000314427
262,0.154453478,0.453090584,-1.2325E-05,-0.000321983
263,0.154453477,0.453082837,-1.2326E-05,-0.00032973
264,0.154453477,0.453074893,-1.2326E-05,-0.000337674
265,0.154453477,0.453066746,-1.2326E-05,-0.000345821
